row,column,Similarity_Measure,row_id,row_q,row_topic,row_status,col_id,col_q,col_topic,col_status
62,2,1,P043724,"When an additional charge of \(2  C\) is given to a capacitor, energy stored in it is increased by \(21\%\) . The original charge of the capacitor is",PHY-12-CBS-02-00,final,P022935,"When an additional charge of \(2  C\) is given to a capacitor, energy stored in it is increased by \(21\%\) . The original charge of the capacitor is",PHY-12-CBS-01-00,final
63,3,0.9999999999999998,P043725,"When a potential difference of \(10^3 V\) is applied between \(A\) and \(B\) , a charge of \(0.75  mC\) is stored in the system of capacitors as shown. The value of \(C\) is (in \(μF\) ). ",PHY-12-CBS-02-00,final,P022936,"When a potential difference of \(10^3 V\) is applied between \(A\) and \(B\) , a charge of \(0.75  mC\) is stored in the system of capacitors as shown. The value of \(C\) is (in \(μF\) ). ",PHY-12-CBS-01-00,final
71,3,0.9999999999999998,P043760,"When a potential difference of \(10^3 V\) is applied between \(A\) and \(B\) , a charge of \(0.75  mC\) is stored in the system of capacitors as shown. The value of \(C\) is (in \(μF\) ). ",PHY-12-CBS-02-00,final,P022936,"When a potential difference of \(10^3 V\) is applied between \(A\) and \(B\) , a charge of \(0.75  mC\) is stored in the system of capacitors as shown. The value of \(C\) is (in \(μF\) ). ",PHY-12-CBS-01-00,final
72,4,1,P043761,See the diagram. Area of each plate is \(2.0  m^2\) and \(d=2\times 10^{-3}m\). A charge of \(8.85\times 10^{-8} C\) is given to \(Q\). Then the potential of \(Q\) becomes,PHY-12-CBS-02-00,final,P022939,See the diagram. Area of each plate is \(2.0  m^2\) and \(d=2\times 10^{-3}m\). A charge of \(8.85\times 10^{-8} C\) is given to \(Q\). Then the potential of \(Q\) becomes,PHY-12-CBS-01-00,final
64,5,0.9999999999999999,P043727,A small oil drop of mass \(10^{-6}  kg\) is hanging in at rest between two plates separated by \(1  mm\) having a potential difference of \(500  V\). The charge on the drop is _________ \((g=10  ms^{-2}\)).,PHY-12-CBS-02-00,final,P023069,A small oil drop of mass \(10^{-6}  kg\) is hanging in at rest between two plates separated by \(1  mm\) having a potential difference of \(500  V\). The charge on the drop is _________ \((g=10  ms^{-2}\)).,PHY-12-CBS-01-00,final
73,5,0.9999999999999999,P043762,A small oil drop of mass \(10^{-6}  kg\) is hanging in at rest between two plates separated by \(1  mm\) having a potential difference of \(500  V\). The charge on the drop is _________ \((g=10  ms^{-2}\)).,PHY-12-CBS-02-00,final,P023069,A small oil drop of mass \(10^{-6}  kg\) is hanging in at rest between two plates separated by \(1  mm\) having a potential difference of \(500  V\). The charge on the drop is _________ \((g=10  ms^{-2}\)).,PHY-12-CBS-01-00,final
65,6,0.9999999999999998,P043728,"A uniform electric field in the plane of the paper as shown. Here \(A,B,C,D\) are the points on the circle. \(V_1,V_2,V_3,V_4\) are the potentials at those points respectively. Then",PHY-12-CBS-02-00,final,P023070,"A uniform electric field in the plane of the paper as shown. Here \(A,B,C,D\) are the points on the circle. \(V_1,V_2,V_3,V_4\) are the potentials at those points respectively. Then",PHY-12-CBS-01-00,final
74,6,0.9999999999999998,P043763,"A uniform electric field in the plane of the paper as shown. Here \(A,B,C,D\) are the points on the circle. \(V_1,V_2,V_3,V_4\) are the potentials at those points respectively. Then",PHY-12-CBS-02-00,final,P023070,"A uniform electric field in the plane of the paper as shown. Here \(A,B,C,D\) are the points on the circle. \(V_1,V_2,V_3,V_4\) are the potentials at those points respectively. Then",PHY-12-CBS-01-00,final
66,7,0.9999999999999999,P043729,Two metal spheres of radii \(0.01  m\) and \(0.02  m\) are given a charge of \(15  mC\) and \(45  mC\) respectively. They are then connected by a wire. The final charge on the first sphere is _________ \(\times 10^{-3} C\).,PHY-12-CBS-02-00,final,P023080,Two metal spheres of radii \(0.01  m\) and \(0.02  m\) are given a charge of \(15  mC\) and \(45  mC\) respectively. They are then connected by a wire. The final charge on the first sphere is _________ \(\times 10^{-3} C\).,PHY-12-CBS-01-00,final
75,7,0.9999999999999999,P043764,Two metal spheres of radii \(0.01  m\) and \(0.02  m\) are given a charge of \(15  mC\) and \(45  mC\) respectively. They are then connected by a wire. The final charge on the first sphere is _________ \(\times 10^{-3} C\).,PHY-12-CBS-02-00,final,P023080,Two metal spheres of radii \(0.01  m\) and \(0.02  m\) are given a charge of \(15  mC\) and \(45  mC\) respectively. They are then connected by a wire. The final charge on the first sphere is _________ \(\times 10^{-3} C\).,PHY-12-CBS-01-00,final
67,8,1.0000000000000002,P043730,Two concentric spheres of radii \(R\) and \(r\) have positive charges \(q_1\) and \(q_2\) with equal surface charge densities. What is the electric potential at their common centre?,PHY-12-CBS-02-00,final,P023083,Two concentric spheres of radii \(R\) and \(r\) have positive charges \(q_1\) and \(q_2\) with equal surface charge densities. What is the electric potential at their common centre?,PHY-12-CBS-01-00,final
76,8,1.0000000000000002,P043765,Two concentric spheres of radii \(R\) and \(r\) have positive charges \(q_1\) and \(q_2\) with equal surface charge densities. What is the electric potential at their common centre?,PHY-12-CBS-02-00,final,P023083,Two concentric spheres of radii \(R\) and \(r\) have positive charges \(q_1\) and \(q_2\) with equal surface charge densities. What is the electric potential at their common centre?,PHY-12-CBS-01-00,final
219,9,1,P023241,This is a dummy test.,PHY-12-CBS-05-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
257,9,1,P023242,This is a dummy test.,PHY-12-CBS-06-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
296,9,1,P035007,This is a dummy test.,PHY-12-CBS-07-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
298,9,1,P023243,This is a dummy test.,PHY-12-CBS-08-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
312,9,1,P023244,This is a dummy test.,PHY-12-CBS-09-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
361,9,1,P023245,This is a dummy test.,PHY-12-CBS-11-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
407,9,1,P023182,This is a dummy test.,PHY-11-CBS-01-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
426,9,1,P035027,This is a dummy test.,PHY-11-CBS-02-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
468,9,1,P023194,This is a dummy test.,PHY-11-CBS-03-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
534,9,1,P035028,This is a dummy test.,PHY-11-CBS-04-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
595,9,1,P035029,This is a dummy test.,PHY-11-CBS-05-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
644,9,1,P035030,This is a dummy test.,PHY-11-CBS-06-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
688,9,1,P035031,This is a dummy test.,PHY-11-CBS-07-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
888,9,1,P023218,This is a dummy test.,PHY-11-CBS-12-00,final,P023230,This is a dummy test.,PHY-12-CBS-01-00,final
68,13,0.9999999999999999,P043731,A charged drop of mass \(3.2\times 10^{-12}  gm\) floats between two horizontal parallel plates maintained at a potential difference of \(980  V\) and separation between the plates is \(2  cm\). The number of excess or deficient electrons on the drop is (Take \(g=9.8  ms^{-2}\)),PHY-12-CBS-02-00,final,P038346,A charged drop of mass \(3.2\times 10^{-12}  gm\) floats between two horizontal parallel plates maintained at a potential difference of \(980  V\) and separation between the plates is \(2  cm\). The number of excess or deficient electrons on the drop is (Take \(g=9.8  ms^{-2}\)),PHY-12-CBS-01-00,final
