Problem Code	 Text Size 	 Sol Size 	 Right Ans 	 Difficulty 	 Chapter 	 Chapter Code 	 Test Code
P009140	150	30071	b	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009123	93	414	b	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009142	296	494	c	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009171	109	326	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009172	69	1975	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009143	127	413	c	3	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009175	107	515	d	3	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009125	113	159	b	1	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009178	73	430	b	1	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009181	258	297	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009127	143	359	a	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009128	112	291	d	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009183	93	694	b	3	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009144	53	482	d	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009133	69	820	c	3	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009134	62	486	d	1	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009146	83	835	c	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009184	88	5350	d	3	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009147	128	370	d	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009149	96	12919	c	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009185	146	789	b	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009162	88	458	b	1	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009186	98	654	b	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009135	131	503	d	2	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009164	134	552	c	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009187	66	344	a	2	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009166	194	434	a	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P009188	45	119	d	1	Trigonometry	MTH-11-JEE-03	SB-MT-01-17
P009137	39	243	a	1	Fundamentals of Mathematics	MTH-11-JEE-01	SB-MT-01-17
P009168	116	416	d	2	Sets, Relations and Functions	MTH-11-JEE-02	SB-MT-01-17
P003157	162	339	b	2	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003179	17157	351	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003159	103	185	a	1	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003162	141	219	a	1	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003175	363	28815	d	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003166	206	237	a	2	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003174	43053	188	a	1	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P031197	315	339	b	1	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
P003164	236	81	d	1	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003177	97	260	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003178	121	327	a	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003168	143	279	a	2	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P009207	285	1811	c	3	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003182	189	219	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003170	219	394	a	2	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003183	209	277	b	2	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003196	192	270	a	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
P009195	182	676	c	3	Motion in 1D	PHY-11-JEE-02	SB-MT-01-17
P003198	162	264	c	3	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
P003167	172	172	c	2	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P003199	84	336	b	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
P009034	275	89	c	3	Units and Measurement	PHY-11-JEE-01	SB-MT-01-17
P031204	16237	722	d	2	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
P031263	241	230	c	1	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-01-17
