row,column,Similarity_Measure,row_id,row_q,row_topic,row_status,col_id,col_q,col_topic,col_status
1407,3,1,P003414,"In _______, superior males of one breed are mated with superior females of another breed. Out crossing Cross breeding Out breeding Inbreeding",BIO-12-CBS-99-00,draft,P004732,"In _______, superior males of one breed are mated with superior females of another breed. Out crossing Cross breeding Out breeding Inbreeding",BIO-12-JEE-01-00,final
1409,5,1,P003416,"During ___________ type of interaction, both organisms are benefitted. Mutualism Competition Commensalism Parasitism",BIO-12-CBS-99-00,draft,P004734,"During ___________ type of interaction, both organisms are benefitted.   Mutualism Competition Commensalism Parasitism",BIO-12-JEE-01-00,final
1410,6,1,P003417,"Gout, the painful arthritic condition is caused due to excess of ___________ deposition in joints. Urea Ammonia Guanine Uric acid",BIO-12-CBS-99-00,draft,P004735,"Gout, the painful arthritic condition is caused due to excess of ___________ deposition in joints. Urea Ammonia Guanine Uric acid",BIO-12-JEE-01-00,final
1411,7,1.0000000000000002,P003418,Which of the following is not a type of cancer? Carcinoma Sarcoma Lipoma Adenoma,BIO-12-CBS-99-00,draft,P004736,Which of the following is not a type of cancer? Carcinoma Sarcoma Lipoma Adenoma,BIO-12-JEE-01-00,final
1414,10,1,P003421,The pyramid of ____________ in sea is always inverted. Biomass Energy Numbers Species,BIO-12-CBS-99-00,draft,P004739,The pyramid of ____________ in sea is always inverted.  Biomass Energy Numbers Species,BIO-12-JEE-01-00,final
1416,12,1.0000000000000002,P003423,The molecular knives of DNA are ___________. Ligases Polymerases Endonucleases Transcriptases,BIO-12-CBS-99-00,draft,P004741,The molecular knives of DNA are ___________. Ligases Polymerases Endonucleases Transcriptases,BIO-12-JEE-01-00,draft
1417,13,0.9999999999999997,P003424,The rod shaped chromosome having only one arm is also called __________. metacentric sub-metacentric telocentric acrocentric,BIO-12-CBS-99-00,draft,P004742,The rod shaped chromosome having only one arm is also called __________. metacentric sub-metacentric telocentric acrocentric,BIO-12-JEE-01-00,final
1419,15,0.9999999999999998,P003426,Which of the following is a start codon? AUG GUG UAA GGU,BIO-12-CBS-99-00,draft,P004744,Which of the following is a start codon?  AUG GUG UAA GGU,BIO-12-JEE-01-00,final
308,166,1,P039802,This is a dummy test generated on the portal to obtain data. Please contact biology@avanti.in if you need the actual test. The test is available in the Biology folder on Dropbox. 1 2 3 4,BIO-12-CBS-25-00,final,P039808,This is a dummy test generated on the portal to obtain data. Please contact biology@avanti.in if you need the actual test. The test is available in the Biology folder on Dropbox. 1 2 3 4,BIO-12-CBS-27-00,final
396,166,1,P041507,This is a dummy test generated on the portal to obtain data. Please contact biology@avanti.in if you need the actual test. The test is available in the Biology folder on Dropbox. 1 2 3 4,BIO-12-CBS-30-00,final,P039808,This is a dummy test generated on the portal to obtain data. Please contact biology@avanti.in if you need the actual test. The test is available in the Biology folder on Dropbox. 1 2 3 4,BIO-12-CBS-27-00,final
