row,column,Similarity_Measure,row_id,row_q,row_topic,row_status,col_id,col_q,col_topic,col_status
14,2,1,P006292,"If \(\cos^{-1}⁡x-\cos^{-1}⁡\frac y2=α\), then \(4x^2-4xy \cos⁡α+y^2\) is equal to \(2 \sin⁡α\) \(4\) \(4 \sin^2⁡α\) \(-4 \sin^2⁡α\)",MTH-12-JEE-18-00,final,P003479,"If \(\cos^{-1}x-\cos^{-1}\frac y2=α\), then \(4x^2-4xy \cosα+y^2\) is equal to \(-4 \sin^2α\) \(4 \sin^2⁡α\) \(4\) \(2 \sin⁡2α\)",MTH-12-JEE-18-00,final
453,4,1,P057177,"If \(f\left(x\right)=2\:\tan^{-1}x+\sin^{-1}\left(\frac{2x}{1+x^2}\right),\:x&gt;1,\) then \(f(5)\) is equal to : \(\frac{\pi}{2}\) \(\pi\) \(4\:\tan^{-1}\:(5)\) \(\tan^{-1}\left(\frac{65}{156}\right)\)",MTH-12-JEE-50-00,final,P005140,"If \(f\left(x\right)=2\tan^{-1}x+\sin^{-1}\left(\frac{2x}{1+x^2}\right), x&gt;1\), then \(f(5)\) is equal to \(\frac{\pi}{2}\) \(\pi\) \(4\tan^{-1}\left(5\right)\) \(\tan^{-1}\left(\frac{65}{156}\right)\)",MTH-12-JEE-18-00,final
2964,24,1,P022392,"If \(\cos\left(\sin^{-1}\frac{2}{5}+\cos^{-1}x\right)=0\), then \(x\) is equal to \(\frac{1}{5}\) \(\frac{2}{5}\) \(0\) \(1\)",MTH-12-CBS-02-00,final,P009145,The value of \(\cos (2\cos ^{-1}x+\sin^{-1}x)\) at \(x=\frac{1}{5}\) is \(\frac{2\sqrt{6}}{5}\) \(\frac{\sqrt{6}}{5}\) \(-\frac{\sqrt{6}}{5}\) \(-\frac{2\sqrt{6}}{5}\),MTH-12-JEE-18-00,final
60,43,1,P044860,"Let \(\tan^{-1}y=\tan^{-1}x+\tan^{-1}\left(\frac{2x}{1-x^2}\right)\), where\(\left|x\right|&lt;\frac{1}{\sqrt{\:3}}\). Then a value of \(y\) is \(\frac{3x-x^3}{1-3x^2}\) \(\frac{3x+x^3}{1-3x^2}\) \(\frac{3x-x^3}{1+3x^2}\) \(\frac{3x+x^3}{1+3x^2}\)",MTH-12-JEE-18-00,final,P027896,"Let \(\tan^{-1}y=\tan^{-1}x+\tan^{-1}\left(\frac{2x}{1-x^2}\right),\) where \(\left|x\right|&lt;\frac{1}{\sqrt{3}}\). Then, a value of \(y\)  is \(\frac{3x-x^3}{1-3x^2}\) \(\frac{3x+x^3}{1-3x^2}\) \(\frac{3x-x^3}{1+3x^2}\) \(\frac{3x+x^3}{1+3x^2}\)",MTH-12-JEE-18-00,final
2953,52,1,P017252,\(\sin\left[2\cos^{-1}\cot\left(2\tan^{-1}\frac{1}{2}\right)\right]\) is equal to \(\frac{3\sqrt{7}}{8}\) \(\frac{5\sqrt{7}}{8}\) \(\frac{5\sqrt{7}}{2}\) \(\frac{3\sqrt{7}}{2}\),MTH-12-CBS-02-00,final,P031390,The value of \(\sin\left[\cot^{-1}\left\{\tan\left(\cos^{-1}x\right)\right\}\right]\) is \(\frac{\sqrt{1-x^2}}{x}\) \(\frac{x}{\sqrt{1-x^2}}\) \(x\) None of these,MTH-12-JEE-18-00,final
428,77,1,P057152,"The least value of the product \(xyz\)  for which the determinant \(\left|\begin{matrix}x&amp;1&amp;1\\1&amp;y&amp;1\\1&amp;1&amp;z\end{matrix}\right|\) is non-negative, is: \(-2\sqrt{2}\) \(-16\sqrt{2}\) \(-8\) \(-1\)",MTH-12-JEE-50-00,final,P005056,"The least value of the product \(xyz\) for which the determinant \(\left|\begin{matrix}x&amp;1&amp;1\\1&amp;y&amp;1\\1&amp;1&amp;z\end{matrix}\right|\) is non-negative, is \(-2\sqrt 2\) \(-16\sqrt 2\) \(-8\) \(-1\)",MTH-12-JEE-17-00,final
429,78,1,P057153,"If \(A=\left[\begin{matrix}0&amp;-1\\1&amp;0\end{matrix}\right],\) then which one of the following statements is not correct ? \(A^4-I=A^2+I\) \(A^3-I=A\left(A-I\right)\) \(A^2+I=A\left(A^2-I\right)\) \(A^3+I=A\left(A^3-I\right)\)",MTH-12-JEE-50-00,final,P005058,"If \(A=\left[\begin{matrix}0&amp;-1\\1&amp;0\end{matrix}\right]\), then which one of the following statements is not correct? \(A^4-I=A^2+I\) \(A^2+I=A(A^2-I)\) \(A^3-I=A(A-I)\) \(A^3+I=A(A^3-I)\)",MTH-12-JEE-17-00,final
122,115,1,P031324,"If \(f:R\to R\) is a function such that \(f\left(x\right)=x^3+x^2+3x+\sin x,\) then \(f(x)\) is : Many-One and Onto One-One and Into One-One and Onto Many-One and Into",MTH-12-JEE-17-00,final,P029714,"If \(f:\) \(R→R\)  is a function such that \(f(x)=x^3+x^2+3x+\sin  ⁡x, \) then \(f(x)\)  is : Many-One and Onto One-One and Into One-One and Onto Many-One and Into",MTH-12-JEE-17-00,final
127,119,1,P031424,The reflection about the line \(x+y=0\) of the inverse function \(f^{-1}\left(x\right)\) of a function \(f\left(x\right)\) is : \(-f\left(x\right)\) \(f\left(x\right)\) \(f\left(-x\right)\) \(-f\left(-x\right)\),MTH-12-JEE-17-00,final,P029913,The reflection about the line \(x+y=0\)  of the inverse function \(f^{-1} (x)\)  of a function \(f(x)\)  is \(-f(x)\) \(f(x)\) \(f(-x)\) \(-f(-x)\),MTH-12-JEE-17-00,final
1640,120,1,P031447,"The set of all \(x\) for which \(f\left(x\right)=\log_{\frac{x-2}{x+2}}2\) and \(g\left(x\right)=\frac{1}{\sqrt{x^2-9}}\) are both NOT defined is \(\left(-2,2\right)\) \(\left[-2,2\right]\) \(\left(-3,3\right)\) \(\left[-3,3\right]\)",MTH-11-JEE-02-00,final,P029955,"The set of all \(x\)  for which \(f(x)=\log _{\frac{x-2}{x+2}}  2\)  and \(g(x)=\frac{1}{\sqrt{x^2-9}}\)  are both not defined is \((-2,2)\) \([-2,2]\) \((-2,2]\) \([-3,3]\)",MTH-12-JEE-17-00,final
